symbol,exchange,firstTradeDateEpochUtc,gmtOffSetMilliseconds,longName,maxAge,quoteType,shortName,symbol,timeZoneFullName,timeZoneShortName,underlyingSymbol,uuid
TASALPME1.MX,YHD,2010-08-31 14:30:00,-18000000,+Tasa Largo Plazo SA DE CV S.I.I.D.,1,MUTUALFUND,+Tasa Largo Plazo SA DE CV S.I,TASALPME1.MX,America/New_York,EST,TASALPME1.MX,c382329c-8e9a-3c94-964c-80294e22f078
000060.SZ,SHZ,1997-01-23 01:30:00,28800000,Shenzhen Zhongjin Lingnan Nonfemet Co. Ltd.,1,EQUITY,SHN ZHONGJIN LINGN,000060.SZ,Asia/Shanghai,CST,000060.SZ,dcbdebef-e546-360b-8131-eaaa3f4e63a9
000065.SZ,SHZ,1998-06-05 02:30:00,28800000,Norinco International Cooperation Ltd.,1,EQUITY,NORINCO INTL CO,000065.SZ,Asia/Shanghai,CST,000065.SZ,3d6d197b-448e-3d48-a4a6-d4de2d3d75ef
000130.SS,SHH,,28800000,,1,INDEX,SSE380 Volatility Weighted Inde,000130.SS,Asia/Shanghai,CST,000130.SS,
000851.SZ,SHZ,1998-06-09 02:30:00,28800000,"Gohigh Networks Co., Ltd.",1,EQUITY,GOHIGH NETWORKS CO,000851.SZ,Asia/Shanghai,CST,000851.SZ,93f2e1dc-0949-3a49-9325-4a316de7c749
000906.SZ,SHZ,1999-07-07 02:30:00,28800000,"Zheshang Development Group Co., Ltd",1,EQUITY,ZHESHANG DEVELOPME,000906.SZ,Asia/Shanghai,CST,000906.SZ,527d7e81-7337-3b0b-93f1-b5b7dfdd4d28
002155.SZ,SHZ,2007-08-16 02:30:00,28800000,Hunan Gold Corporation Limited,1,EQUITY,HUNAN GOLD CORPORA,002155.SZ,Asia/Shanghai,CST,002155.SZ,69434d2b-4947-3559-b03e-715c152a0016
002314.SZ,SHZ,2009-12-03 01:30:00,28800000,"Shenzhen New Nanshan Holding (Group) Co., Ltd.",1,EQUITY,SHENZHEN NEW NANSH,002314.SZ,Asia/Shanghai,CST,002314.SZ,17ffa95d-ecea-3553-8f35-03ee0ebf4370
002394.SZ,SHZ,2010-04-23 02:30:00,28800000,"Jiangsu Lianfa Textile Co.,Ltd",1,EQUITY,JIANGSU LIANFA TEX,002394.SZ,Asia/Shanghai,CST,002394.SZ,b3ae0e4b-ed01-35f8-9e57-6480d5e2e267
002491.SZ,SHZ,2010-10-21 02:30:00,28800000,"Tongding Interconnection Information Co., Ltd.",1,EQUITY,TONGDING INTERCONN,002491.SZ,Asia/Shanghai,CST,002491.SZ,ff3dd629-ad30-3003-9a7c-a660d7a60fec
00778B.TWO,TWO,2019-01-29 01:00:00,28800000,KGI 20+Years US Banking Bond ETF,1,EQUITY,KGI SECURITIES INVT TST CO LTD,00778B.TWO,Asia/Taipei,CST,00778B.TWO,6845eb88-e50a-39d7-b094-2e69996c82fd
011070.KS,KSC,2008-07-24 01:00:00,32400000,"LG Innotek Co., Ltd.",1,EQUITY,LG Innotek,011070.KS,Asia/Seoul,KST,011070.KS,85d094d9-e75b-3f20-81d8-19653973e8c0
030154.TW,TAI,,28800000,,1,EQUITY,FUBON SECURITIES C/W 08/11/21(L,030154.TW,Asia/Taipei,CST,030154.TW,
032187.TW,TAI,,28800000,,1,EQUITY,,032187.TW,Asia/Taipei,CST,032187.TW,
033130.KQ,KOE,2000-02-11 00:00:00,32400000,DIGITAL CHOSUN Inc.,1,EQUITY,DChosun,033130.KQ,Asia/Seoul,KST,033130.KQ,605acba9-8107-3d6e-8e6b-a2653e536f5e
033250.KS,KSC,2000-01-04 00:00:00,32400000,"CHASYS Co., Ltd.",1,EQUITY,CHASYS,033250.KS,Asia/Seoul,KST,033250.KS,ccbd17f8-c22e-379a-aed9-2c4cb0ab7d5e
03535P.TW,TAI,,28800000,,1,EQUITY,,03535P.TW,Asia/Taipei,CST,03535P.TW,
0365.Z,ZRH,,3600000,,1,INDEX,STXAP6TEC GR USD,0365.Z,Europe/Zurich,CET,0365.Z,
0369.HK,HKG,2000-01-04 01:30:00,28800000,Wing Tai Properties Limited,1,EQUITY,WING TAI PPT,0369.HK,Asia/Hong_Kong,HKT,0369.HK,50c0b425-0a27-3f13-8fd8-bbc3442c13ec
037270.KS,KSC,2003-08-04 01:00:00,32400000,"YG Plus, Inc.",1,EQUITY,YGP,037270.KS,Asia/Seoul,KST,037270.KS,a7d3470f-ded9-391a-8ee2-3f19cf71c369
03832P.TW,TAI,,28800000,,1,EQUITY,,03832P.TW,Asia/Taipei,CST,03832P.TW,
04129P.TW,TAI,,28800000,,1,EQUITY,,04129P.TW,Asia/Taipei,CST,04129P.TW,
0432.HK,HKG,2004-06-25 02:30:00,28800000,Pacific Century Premium Developments Limited,1,EQUITY,PCPD,0432.HK,Asia/Hong_Kong,HKT,0432.HK,cb18121e-80ef-349d-88c8-8ca079eace2f
04512P.TW,TAI,,28800000,,1,EQUITY,,04512P.TW,Asia/Taipei,CST,04512P.TW,0880daa3-c9bb-3553-aa87-56a2cc61d443
0533.HK,HKG,2000-01-04 01:30:00,28800000,Goldlion Holdings Limited,1,EQUITY,GOLDLION HOLD,0533.HK,Asia/Hong_Kong,HKT,0533.HK,508c00cf-302f-3e9d-967e-3f85bc7c0e8d
056A.Z,ZRH,,3600000,,1,INDEX,STXCA240 GR EUR,056A.Z,Europe/Zurich,CET,056A.Z,
05LY.Z,ZRH,,3600000,,1,INDEX,STO.GERMANY TM.E.X PR USD,05LY.Z,Europe/Zurich,CET,05LY.Z,
0702.DU,DUS,2020-09-07 07:00:00,3600000,,1,EQUITY,TRILLIUM GOLD MINES INC.,0702.DU,Europe/Berlin,CET,0702.DU,5f5dad50-b99d-386e-901d-11e3bbc1c08d
0712.HK,HKG,2009-10-30 01:30:00,28800000,Comtec Solar Systems Group Limited,1,EQUITY,COMTEC SOLAR,0712.HK,Asia/Hong_Kong,HKT,0712.HK,ec8edb84-e06e-36c3-9f5b-355e9dececfb
071320.KS,KSC,2010-01-29 00:00:00,32400000,Korea District Heating Corp.,1,EQUITY,KDHC,071320.KS,Asia/Seoul,KST,071320.KS,414a89d1-a055-3c9f-b3fd-181ec0d6e627
074107.TW,TAI,,28800000,,1,EQUITY,,074107.TW,Asia/Taipei,CST,074107.TW,
075326.TW,TAI,,28800000,,1,EQUITY,,075326.TW,Asia/Taipei,CST,075326.TW,
076757.TW,TAI,,28800000,,1,EQUITY,,076757.TW,Asia/Taipei,CST,076757.TW,
078011.TW,TAI,,28800000,,1,EQUITY,,078011.TW,Asia/Taipei,CST,078011.TW,
080709.TW,TAI,,28800000,,1,EQUITY,,080709.TW,Asia/Taipei,CST,080709.TW,
081626.TW,TAI,,28800000,,1,EQUITY,,081626.TW,Asia/Taipei,CST,081626.TW,5f492211-9fe6-3507-a842-6c0bf439e3e2
082017.TW,TAI,,28800000,,1,EQUITY,,082017.TW,Asia/Taipei,CST,082017.TW,1aa4a69f-e0a6-34d3-8b6d-3cbfda6e5fe3
082480.TW,TAI,,28800000,,1,EQUITY,,082480.TW,Asia/Taipei,CST,082480.TW,
082959.TW,TAI,,28800000,,1,EQUITY,,082959.TW,Asia/Taipei,CST,082959.TW,
085081.TW,TAI,,28800000,,1,EQUITY,,085081.TW,Asia/Taipei,CST,085081.TW,
08559P.TW,TAI,,28800000,,1,EQUITY,,08559P.TW,Asia/Taipei,CST,08559P.TW,
08561P.TW,TAI,,28800000,,1,EQUITY,,08561P.TW,Asia/Taipei,CST,08561P.TW,
085952.TW,TAI,,28800000,,1,EQUITY,,085952.TW,Asia/Taipei,CST,085952.TW,
086080.TW,TAI,,28800000,,1,EQUITY,,086080.TW,Asia/Taipei,CST,086080.TW,
086104.TW,TAI,,28800000,,1,EQUITY,,086104.TW,Asia/Taipei,CST,086104.TW,
086418.TW,TAI,,28800000,,1,EQUITY,,086418.TW,Asia/Taipei,CST,086418.TW,
087200.TW,TAI,,28800000,,1,EQUITY,,087200.TW,Asia/Taipei,CST,087200.TW,
088131.TW,TAI,,28800000,,1,EQUITY,,088131.TW,Asia/Taipei,CST,088131.TW,f0cdf90a-39b3-3002-9581-00b1c32bd467
088146.TW,TAI,,28800000,,1,EQUITY,,088146.TW,Asia/Taipei,CST,088146.TW,4427faef-1203-3fe5-abb1-4fb295556b20
088251.TW,TAI,,28800000,,1,EQUITY,,088251.TW,Asia/Taipei,CST,088251.TW,afa2e17d-7ed8-30a6-937f-d34c03782572
088828.TW,TAI,,28800000,,1,EQUITY,,088828.TW,Asia/Taipei,CST,088828.TW,
089262.TW,TAI,,28800000,,1,EQUITY,,089262.TW,Asia/Taipei,CST,089262.TW,
089548.TW,TAI,,28800000,,1,EQUITY,,089548.TW,Asia/Taipei,CST,089548.TW,
089581.TW,TAI,,28800000,,1,EQUITY,,089581.TW,Asia/Taipei,CST,089581.TW,
095190.KQ,KOE,2007-12-28 00:00:00,32400000,"ENERGY&MACHINERY KOREA Co.,Ltd.",1,EQUITY,EMKOREA,095190.KQ,Asia/Seoul,KST,095190.KQ,8785bd19-2110-31bf-888b-c9d27aac4d7b
09FH.Z,ZRH,,3600000,,1,INDEX,STX LT TM NR USD,09FH.Z,Europe/Zurich,CET,09FH.Z,
09FJ.Z,ZRH,,3600000,,1,INDEX,STX LT TM GR USD,09FJ.Z,Europe/Zurich,CET,09FJ.Z,
09J9.Z,ZRH,,3600000,,1,INDEX,STXE ESG L.B.C.NR EO,09J9.Z,Europe/Zurich,CET,09J9.Z,
09N.BE,BER,2005-09-28 07:00:00,3600000,,1,EQUITY,PRAIRIE PROVIDENT RES.INC,09N.BE,Europe/Berlin,CET,09N.BE,3b1bcfe0-2cf1-302e-9ea1-c0441e09374f
0A2S.Z,ZRH,,3600000,,1,INDEX,ESTX ESG L.B.C.GR DL,0A2S.Z,Europe/Zurich,CET,0A2S.Z,
0EEE.IL,IOB,2007-12-20 08:00:00,0,CTS Eventim AG & Co. KGaA,1,EQUITY,CTS EVENTIM AG & CO KGAA CTS EV,0EEE.IL,Europe/London,GMT,0EEE.IL,664c7132-4cd1-3fce-b109-4308444a3a55
0GWS.Z,ZRH,,3600000,,1,INDEX,STXE MID 200 M.H.PR EUR,0GWS.Z,Europe/Zurich,CET,0GWS.Z,
0HYE.L,LSE,,0,Cincinnati Financial Corporation,1,EQUITY,CINCINNATI FINANCIAL CORP CINCI,0HYE.L,Europe/London,GMT,0HYE.L,3809107f-bb18-31ed-ad81-003bcb8e54e9
0I7J.MU,MUN,,3600000,,1,ETF,SISF GL.EM.MKT.OPP. BA EO,0I7J.MU,Europe/Berlin,CET,0I7J.MU,
0J1R.DE,GER,,3600000,,1,INDEX,IN.IS.MSCI EU.QU.F.ETF YN,0J1R.DE,Europe/Berlin,CET,0J1R.DE,
0K50.DE,GER,,3600000,,1,INDEX,IN.IS.COR.CORP.BD.EO A.LS,0K50.DE,Europe/Berlin,CET,0K50.DE,
0L17.L,LSE,,0,SPDR Series Trust - SPDR S&P Bank ETF,1,EQUITY,SPDR KBW BANK ETF SPDR S&P BANK,0L17.L,Europe/London,GMT,0L17.L,6282d25e-f286-381f-a518-68bfb6e4d21b
0NB0.F,FRA,2018-08-13 07:00:00,3600000,,1,EQUITY,BLACK TUSK RES.INC.NEW,0NB0.F,Europe/Berlin,CET,0NB0.F,7a6bbc14-371d-31a7-a8a8-bf88a5c7ef4c
0NG6.L,LSE,,0,Atenor SA,1,EQUITY,ATENOR SA ATENOR ORD SHS,0NG6.L,Europe/London,GMT,0NG6.L,699c8b69-a655-3246-bd72-5d00ced0502a
0NL4.Z,ZRH,,3600000,,1,INDEX,STX EU.LA.200 ESG-X NR EO,0NL4.Z,Europe/Zurich,CET,0NL4.Z,
0OP.F,FRA,2018-03-22 07:00:00,3600000,"OptiNose, Inc.",1,EQUITY,"OPTINOSE INC.  DL-,001",0OP.F,Europe/Berlin,CET,0OP.F,4fb52e0e-5f8c-3e83-b650-77bd32e3982c
0P00000B0W,,,,,1,NONE,,0P00000B0W,,,0P00000B0W,e3942f36-6d4f-3e46-bb39-0eccfb16ee86
0P00000DY5.L,LSE,2018-01-02 08:00:00,0,Jupiter Merlin Income Portfolio Fund L Acc,1,MUTUALFUND,Jupiter Merlin Income Portfolio,0P00000DY5.L,Europe/London,GMT,0P00000DY5.L,1b4e019e-7f23-33d1-b08c-7568dd1b7e13
0P00000FA2.F,,,,,1,NONE,,0P00000FA2.F,,,0P00000FA2.F,ef042087-3823-3436-bf90-52a068fad964
0P00000FPS.F,,,,,1,NONE,,0P00000FPS.F,,,0P00000FPS.F,b1904b66-bfff-3bd1-b607-161be759f96b
0P00000GY5.F,FRA,2018-01-02 07:00:00,3600000,Sarasin FairInvest Bond Universal Fonds,1,MUTUALFUND,Sarasin FairInvest Bond Univers,0P00000GY5.F,Europe/Berlin,CET,0P00000GY5.F,4c030f4f-72b0-3b55-b98e-75c343948e3c
0P00000HS7.F,,,,,1,NONE,,0P00000HS7.F,,,0P00000HS7.F,c9529967-e8c3-334c-91a1-4c62463b4950
0P00000IXY.F,FRA,2018-01-02 07:00:00,3600000,Perenne Patrimoine P,1,MUTUALFUND,Perenne Patrimoine P,0P00000IXY.F,Europe/Berlin,CET,0P00000IXY.F,9e14dad9-d965-3339-bf03-9071b8dda305
0P00000KP7.F,,,,,1,NONE,,0P00000KP7.F,,,0P00000KP7.F,efd72718-a7c2-343f-8429-837d601b7beb
0P00000KWA.CO,,,,,1,NONE,,0P00000KWA.CO,,,0P00000KWA.CO,f0163bb1-85d8-3178-9473-d3d6fc1b9af4
0P00000M03.SW,,,,,1,NONE,,0P00000M03.SW,,,0P00000M03.SW,45677fab-2d1a-346f-a561-36396f53bdac
0P00000MFL.F,,,,,1,NONE,,0P00000MFL.F,,,0P00000MFL.F,4fcaffe9-26fb-3083-9b8d-dfe97ab989fa
0P00000NOW.F,,,,,1,NONE,,0P00000NOW.F,,,0P00000NOW.F,603488f5-0294-38c7-8270-654c1ec658ea
0P00000O3G.F,,,,,1,NONE,,0P00000O3G.F,,,0P00000O3G.F,8cb32e06-e006-32ab-bc59-2e0a6a1202d0
0P00000OFF.SW,,,,,1,NONE,,0P00000OFF.SW,,,0P00000OFF.SW,f9e8c601-a047-3d59-a6df-edfb19266d9f
0P00000ON0.F,,,,,1,NONE,,0P00000ON0.F,,,0P00000ON0.F,4715afe9-333f-329e-9ded-aca70538ae61
0P00000OUU.F,FRA,2018-01-02 07:00:00,3600000,DWS ESG Investa LD,1,MUTUALFUND,DWS ESG Investa LD,0P00000OUU.F,Europe/Berlin,CET,0P00000OUU.F,81aabf3b-e334-31ae-912a-e72dbfddec7b
0P00000QEQ.F,FRA,2018-01-02 07:00:00,3600000,AXA Valeurs Euro C,1,MUTUALFUND,AXA Valeurs Euro C,0P00000QEQ.F,Europe/Berlin,CET,0P00000QEQ.F,389c5bb7-fc84-3e71-a810-81deb3855348
0P00000RBO.L,LSE,2018-01-02 08:00:00,0,Allianz Continental European Fund Class A Shares Acc,1,MUTUALFUND,Allianz Continental European Fu,0P00000RBO.L,Europe/London,GMT,0P00000RBO.L,378cbbd6-db19-3586-958f-26a6f55d84a5
0P00000RMQ,PNK,2019-01-02 14:30:00,-18000000,,1,MUTUALFUND,Janus Henderson Capital Funds p,0P00000RMQ,America/New_York,EST,0P00000RMQ,d10db4fe-4b89-3cfc-b8c3-acd3d50336a9
0P00000RNN,PNK,2019-01-04 14:30:00,-18000000,,1,MUTUALFUND,AXA Rosenberg Equity Alpha Trus,0P00000RNN,America/New_York,EST,0P00000RNN,d5d35be3-e405-3f6a-85cf-65353c02fcae
0P00000UY1.F,,,,,1,NONE,,0P00000UY1.F,,,0P00000UY1.F,73528311-4d35-3c20-b231-0da43ed3a263
0P00000WFM.SW,,,,,1,NONE,,0P00000WFM.SW,,,0P00000WFM.SW,b47b1b4f-01c8-39db-a897-c38cff143d6a
0P00000XP7.F,,,,,1,NONE,,0P00000XP7.F,,,0P00000XP7.F,50fa94b3-e619-3ff7-a18d-28addf7eaf38
0P00000YVI.L,LSE,2018-01-02 08:00:00,0,Barings International Umbrella Fund - Barings Global Bond Fund Class A GBP Inc,1,MUTUALFUND,Barings International Umbrella ,0P00000YVI.L,Europe/London,GMT,0P00000YVI.L,b594f18f-2da6-36c1-ae72-53d4af0a8219
0P00000ZE3.L,LSE,2018-01-02 08:00:00,0,PIMCO GIS US High Yield Bond Fund Institutional GBP (Hedged) Accumulation,1,MUTUALFUND,PIMCO GIS US High Yield Bond Fu,0P00000ZE3.L,Europe/London,GMT,0P00000ZE3.L,8625b553-ff8d-3f92-b874-ae0e83bb82d5
0P000010HC.F,FRA,2018-01-02 07:00:00,3600000,PIMCO GIS Emerging Markets Bond Fund Institutional EUR (Hedged) Accumulation,1,MUTUALFUND,PIMCO GIS Emerging Markets Bond,0P000010HC.F,Europe/Berlin,CET,0P000010HC.F,7938da78-992c-32ae-a7f4-abf77c5d351b
0P000010L8.F,,,,,1,NONE,,0P000010L8.F,,,0P000010L8.F,9144f949-cc62-3d2f-8661-cc97b60c479a
0P000015UQ.SW,,,,,1,NONE,,0P000015UQ.SW,,,0P000015UQ.SW,e7dddaca-3dea-32f9-bfa0-f3966ae853e4
0P0000174O.F,,,,,1,NONE,,0P0000174O.F,,,0P0000174O.F,0495d74d-ffc6-3bfb-b16f-15fd9c584c04
0P00001AQA.F,,,,,1,NONE,,0P00001AQA.F,,,0P00001AQA.F,2b96f338-a35d-3a38-9ea6-b62cf23a1817
0P00001ARQ.F,,,,,1,NONE,,0P00001ARQ.F,,,0P00001ARQ.F,6bc55c29-045c-3e90-b703-247173c40e3a
0P00001B2O.F,,,,,1,NONE,,0P00001B2O.F,,,0P00001B2O.F,ce74632d-9b61-3e3a-84a1-cd2a13a902b0
0P00001B5F.F,,,,,1,NONE,,0P00001B5F.F,,,0P00001B5F.F,a93aa1ff-4dab-3c1b-906f-7d16223a3749
0P00001BT9.F,FRA,2018-01-01 07:00:00,3600000,Fondomutua Moderado PP,1,MUTUALFUND,Fondomutua Moderado PP,0P00001BT9.F,Europe/Berlin,CET,0P00001BT9.F,c1787d5a-dad1-3935-95c4-9b7209fc8208
