symbol,exchange,firstTradeDateEpochUtc,gmtOffSetMilliseconds,longName,maxAge,messageBoardId,quoteType,shortName,symbol,timeZoneFullName,timeZoneShortName,underlyingSymbol,uuid
000079.SS,SHH,,28800000,,1,finmb_INDEX000079.SS,INDEX,SSE Utilities Sector Equal Weig,000079.SS,Asia/Shanghai,CST,000079.SS,2ad9d338-50de-3163-b1b4-51386eab0afb
000698.SZ,SHZ,1997-02-20 01:30:00,28800000,"Shenyang Chemical Industry Co., Ltd.",1,finmb_5545546,EQUITY,SHENYANG CHEMICAL,000698.SZ,Asia/Shanghai,CST,000698.SZ,d095d55c-4bf0-3b9e-a0ab-3e90d13d8e5b
000779.SZ,SHZ,1997-05-28 01:30:00,28800000,"Gansu Engineering Consulting Group Co., Ltd.",1,finmb_9648299,EQUITY,GANSU ENGINEERING,000779.SZ,Asia/Shanghai,CST,000779.SZ,1ab5c1f5-7115-3750-8d7f-0b4cb9b901d4
000815.SZ,SHZ,1998-06-09 01:30:00,28800000,"MCC Meili Cloud Computing Industry Investment Co., Ltd",1,finmb_12963127,EQUITY,MCC MEILI CLOUD CO,000815.SZ,Asia/Shanghai,CST,000815.SZ,2993c23a-af62-3861-b4f1-d3f7dae3b04c
000921.SS,SHH,,28800000,,1,finmb_INDEX000921.SS,INDEX,CSI 300 Relative Value Index,000921.SS,Asia/Shanghai,CST,000921.SS,e697f2f2-787d-30a6-9960-53c425a02348
000978.SZ,SHZ,2000-05-18 01:30:00,28800000,Guilin Tourism Corporation Limited,1,finmb_9536288,EQUITY,GUILIN TOURISM COR,000978.SZ,Asia/Shanghai,CST,000978.SZ,7cedf4e3-6414-3c82-9f7c-6baba12013a0
000998.SS,SHH,,28800000,,1,finmb_INDEX000998.SS,INDEX,CSI TMT Industries Index,000998.SS,Asia/Shanghai,CST,000998.SS,0bc3fe7d-b272-34bb-9ade-d72cf87b8749
002213.SZ,SHZ,2008-02-01 01:30:00,28800000,"Shenzhen Dawei Innovation Technology Co., Ltd.",1,finmb_39697831,EQUITY,SHENZHEN DAWEI INN,002213.SZ,Asia/Shanghai,CST,002213.SZ,366f7911-93e6-387b-adf4-fc49e94b4aac
002236.SZ,SHZ,2008-05-09 01:30:00,28800000,"Zhejiang Dahua Technology Co., Ltd.",1,finmb_41598649,EQUITY,ZHEJIANG DAHUA TEC,002236.SZ,Asia/Shanghai,CST,002236.SZ,d861b41e-a800-3e03-abc3-2d8b826a9592
002720.KS,KSC,2005-09-29 00:00:00,32400000,"Kukje Pharma Co., Ltd.",1,finmb_9245514,EQUITY,Kukje Pharma,002720.KS,Asia/Seoul,KST,002720.KS,954490ec-4911-3162-9a31-d800fa944841
002S.Z,ZRH,,3600000,ESTX LRB30 GR EUR,1,,INDEX,ESTX LRB30 GR EUR,002S.Z,Europe/Zurich,CET,002S.Z,08a81a8f-6de3-3d97-90cf-787cc6f872fa
0036.HK,HKG,2005-01-27 01:30:00,28800000,Far East Holdings International Limited,1,finmb_4460682,EQUITY,FE HLDGS INTL,0036.HK,Asia/Hong_Kong,HKT,0036.HK,02d46d72-c7da-395b-8641-f0e192d08225
0058.KL,KLS,2004-11-29 01:00:00,28800000,JcbNext Bhd,1,,EQUITY,JCBNEXT,0058.KL,Asia/Kuala_Lumpur,MYT,0058.KL,f86f5c78-ee2b-3d1c-8c9b-cf0160baebc2
005810.KS,KSC,2000-01-04 00:00:00,32400000,Poongsan Holdings Corporation,1,finmb_879665,EQUITY,POONGSAN HOLDINGS,005810.KS,Asia/Seoul,KST,005810.KS,16329273-b0bd-3da2-b9eb-2adef408d268
00JE.Z,ZRH,,3600000,STXE LR200 GR USD,1,,INDEX,STXE LR200 GR USD,00JE.Z,Europe/Zurich,CET,00JE.Z,12fad7d7-a1e5-3a72-a6a6-8441da35828d
00W.BE,BER,2021-02-02 07:00:00,3600000,Aspermont Ltd,1,,EQUITY,ASPERMONT LTD,00W.BE,Europe/Berlin,CET,00W.BE,8ff8ba08-cc98-3cc1-b9f6-73594e923353
0174PA.KL,KLS,2022-07-01 01:00:00,28800000,EVD Bhd,1,,EQUITY,EVD-PA,0174PA.KL,Asia/Kuala_Lumpur,MYT,0174PA.KL,d62a77c5-df0e-3362-850c-8d2df47860a7
017810.KS,KSC,2000-01-04 00:00:00,32400000,"Pulmuone Co., Ltd.",1,finmb_5567236,EQUITY,PMO,017810.KS,Asia/Seoul,KST,017810.KS,de0df8b1-be1d-3005-8277-e9671c8d170f
01GB.Z,ZRH,,3600000,ST ESG L.F.F.G.E.EZ GR DL,1,,INDEX,ST ESG L.F.F.G.E.EZ GR DL,01GB.Z,Europe/Zurich,CET,01GB.Z,4b0777fb-7323-37ce-8834-e9bea8199f6a
01OV.Z,ZRH,,3600000,IXETMFdPC CHF NR,1,,INDEX,IXETMFdPC CHF NR,01OV.Z,Europe/Zurich,CET,01OV.Z,50938143-ff31-3eb9-8747-0c9eb91b8072
020018.TW,TAI,,28800000,,1,,ETF,PRESIDENT SECURITIES,020018.TW,Asia/Taipei,CST,020018.TW,b6e58952-ebc4-3749-a75e-8354dd821497
020034.TW,TAI,,28800000,,1,,ETF,,020034.TW,Asia/Taipei,CST,020034.TW,76a131ca-18c9-3b09-8c2b-28513292b142
023810.KS,KSC,2000-02-11 00:00:00,32400000,INFAC Corporation,1,finmb_12784531,EQUITY,INFAC,023810.KS,Asia/Seoul,KST,023810.KS,fafb6f3c-d85f-3f65-8f43-209e57f3c185
02IR.Z,ZRH,,3600000,STXE REP.LOW CARBON NR EO,1,,INDEX,STXE REP.LOW CARBON NR EO,02IR.Z,Europe/Zurich,CET,02IR.Z,3f16c149-5482-30fb-91fa-b752622a4f8d
02UE.Z,ZRH,,3600000,STX SG 20 D.LEV.4 I.NR EO,1,,INDEX,STX SG 20 D.LEV.4 I.NR EO,02UE.Z,Europe/Zurich,CET,02UE.Z,bb342400-0015-3c31-9cef-c466333c37ee
02WG.Z,ZRH,,3600000,STX US50 RC.15P.RV NR EO,1,,INDEX,STX US50 RC.15P.RV NR EO,02WG.Z,Europe/Zurich,CET,02WG.Z,004caf73-4bad-3c71-9f62-7d2345690d3f
