symbol,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,gmtOffSetMilliseconds,maxAge
22PPSPOF,Quote not found for ticker symbol: 22PPSPOF,Quote not found for ticker symbol: 22PPSPOF,Quote not found for ticker symbol: 22PPSPOF,Quote not found for ticker symbol: 22PPSPOF,Quote not found for ticker symbol: 22PPSPOF,Quote not found for ticker symbol: 22PPSPOF,Quote not found for ticker symbol: 22PPSPOF,Quote not found for ticker symbol: 22PPSPOF,Quote not found for ticker symbol: 22PPSPOF,Quote not found for ticker symbol: 22PPSPOF,Quote not found for ticker symbol: 22PPSPOF,Quote not found for ticker symbol: 22PPSPOF
IM.F,YHD,MUTUALFUND,IM.F,IM.F,,,,America/New_York,EST,,-18000000,1
22,,NONE,22,22,,,,,,b6d767d2-f8ed-3d21-a44b-0e5886680cb9,,1
000028.SS,SHH,,28800000,Sinopharm Accord,1,INDEX,SSE 180 Growth Index,000028.SS,Asia/Shanghai,CST,000028.SS,5396f995-8262-3a0a-b7a4-23ca61ca5c20
000545.SZ,SHZ,1993-12-15 01:30:00,28800000,"Gpro Titanium Industry Co., Ltd.",1,EQUITY,GPRO TITANIUM INDU,000545.SZ,Asia/Shanghai,CST,000545.SZ,d75d8796-eb71-35f6-8ca6-0c712a60c1eb
000712.SZ,SHZ,1997-04-15 01:30:00,28800000,Guangdong Golden Dragon Development Inc.,1,EQUITY,GUANGDONG GOLDEN G,000712.SZ,Asia/Shanghai,CST,000712.SZ,2cd0a0be-c94b-31c4-acc8-45eb5366ccf0
000736.SZ,SHZ,1997-04-25 01:30:00,28800000,CCCG Real Estate Corporation Limited,1,EQUITY,CCCG REAL ESTATE C,000736.SZ,Asia/Shanghai,CST,000736.SZ,21ae42df-8b8e-3cb6-9f50-9bd2c2b62b34
000855.SS,SHH,,28800000,,1,INDEX,CCTV500 Index,000855.SS,Asia/Shanghai,CST,000855.SS,
002166.SZ,SHZ,2007-09-13 01:30:00,28800000,Guilin Layn Natural Ingredients Corp.,1,EQUITY,GUILIN LAYN NATURA,002166.SZ,Asia/Shanghai,CST,002166.SZ,3b4e6695-971a-380b-b974-636c22bcfb03
002199.SZ,SHZ,2007-12-21 01:30:00,28800000,"Zhejiang East Crystal Electronic Co.,Ltd.",1,EQUITY,ZJ EAST CRYSTAL EL,002199.SZ,Asia/Shanghai,CST,002199.SZ,44458187-26d4-3168-8940-e3b9a0bd23a6
002240.KS,KSC,2005-09-29 00:00:00,32400000,Kiswire Ltd.,1,EQUITY,KISWire,002240.KS,Asia/Seoul,KST,002240.KS,7397e058-8f51-3820-a638-74391cbf63dc
002379.SZ,SHZ,2010-03-31 01:30:00,28800000,Shandong Hongchuang Aluminum Industry Holding Company Limited,1,EQUITY,SHANDONG HONGCHUAN,002379.SZ,Asia/Shanghai,CST,002379.SZ,be560c40-5dbd-3c3b-ac89-321c48c1abb7
002380.SZ,SHZ,2010-03-31 01:30:00,28800000,"Nanjing Sciyon Wisdom Technology Group Co., Ltd.",1,EQUITY,NANJING SCIYON WIS,002380.SZ,Asia/Shanghai,CST,002380.SZ,24dd399d-545e-3228-bef4-351f09e6b6b1
002569.SZ,SHZ,2011-04-12 01:30:00,28800000,"Zhejiang Busen Garments Co., Ltd.",1,EQUITY,ZHEJIANG BUSEN GAR,002569.SZ,Asia/Shanghai,CST,002569.SZ,51c77453-9edd-3b55-9552-73efc860c201
002605.SZ,SHZ,2011-08-05 01:30:00,28800000,"Shanghai Yaoji Technology Co., Ltd.",1,EQUITY,SHANGHAI YAOJI TEC,002605.SZ,Asia/Shanghai,CST,002605.SZ,a3c8a0e7-58e5-3673-849e-be00a76f71ce
002713.SZ,SHZ,2014-02-19 01:30:00,28800000,"Dong Yi Ri Sheng Home Decoration Group Co.,Ltd.",1,EQUITY,DONG YI RI SHENG H,002713.SZ,Asia/Shanghai,CST,002713.SZ,59428064-d07a-3dcf-8ec8-474915aadf55
002731.SZ,SHZ,2014-11-11 01:30:00,28800000,"Shenyang Cuihua Gold and Silver Jewelry Co., Ltd.",1,EQUITY,SHENYANG CUIHUA GO,002731.SZ,Asia/Shanghai,CST,002731.SZ,945ef563-70f7-3663-8428-6c820bc47d3e
002847.SZ,SHZ,2017-02-09 01:30:00,28800000,"YanKer shop Food Co.,Ltd",1,EQUITY,YANKERSHOP FOOD CO,002847.SZ,Asia/Shanghai,CST,002847.SZ,bb5e0611-63e5-3b62-bfb7-7e378464fcda
002861.SZ,SHZ,2017-04-13 01:30:00,28800000,"YingTong Telecommunication Co.,Ltd.",1,EQUITY,YINGTONG TELECOMMU,002861.SZ,Asia/Shanghai,CST,002861.SZ,34b42645-e7c0-3d51-9ddd-7adedc179d04
0032.KL,KLS,2004-01-09 01:00:00,28800000,,1,EQUITY,REDTONE,0032.KL,Asia/Kuala_Lumpur,MYT,0032.KL,311ef0a6-0201-3769-862a-9231f53ea0e1
